run,tau_hat,c,theta,rho_s,rho_pi,alpha,mu,epsilon,delta_cenp,trigger_rate,cond_switching,total_switching,enp_final
7452,2.312744140625,1.1375732421875,2.618994140625,29.5751953125,113.83056640625,0.604248046875,0.92041015625,0.3516845703125,0.00048811497456413555,0.15,0.023333333333333334,0.0035,6.1703066333881464
7453,2.312744140625,1.7015380859375,0.8392089843750001,29.5751953125,113.83056640625,0.604248046875,0.92041015625,0.3516845703125,0.00211832213847718,0.194,0.023195876288659795,0.0045,7.3146736009772395
7454,2.312744140625,1.7015380859375,2.618994140625,168.1787109375,113.83056640625,0.604248046875,0.92041015625,0.3516845703125,0.001821039166167382,0.144,0.03125,0.0045,7.23829928919901
7455,2.312744140625,1.7015380859375,2.618994140625,29.5751953125,30.23193359375,0.604248046875,0.92041015625,0.3516845703125,0.003347860133878,0.1695,0.032448377581120944,0.0055,7.770883277447731
7456,2.312744140625,1.7015380859375,2.618994140625,29.5751953125,113.83056640625,0.809912109375,0.92041015625,0.3516845703125,0.0013327659152819749,0.206,0.050970873786407765,0.0105,7.659167065581618
7457,2.312744140625,1.7015380859375,2.618994140625,29.5751953125,113.83056640625,0.604248046875,0.02587890625,0.3516845703125,0.023239304741937916,0.0655,0.6259541984732825,0.041,7.3224667926130955
7458,2.312744140625,1.7015380859375,2.618994140625,29.5751953125,113.83056640625,0.604248046875,0.92041015625,0.1152587890625,0.0004401556549908925,0.1515,0.006600660066006601,0.001,6.674520352281184
7459,2.957275390625,1.1375732421875,0.8392089843750001,168.1787109375,30.23193359375,0.809912109375,0.02587890625,0.1152587890625,0.016116004733126243,0.032,0.71875,0.023,4.500915936393056
7460,2.937744140625,1.0140380859375,0.593994140625,172.0751953125,162.58056640625,0.829248046875,0.17041015625,0.4641845703125,0.0,0.1035,0.00966183574879227,0.001,6.272384572442906
7461,2.332275390625,1.0140380859375,0.593994140625,172.0751953125,162.58056640625,0.829248046875,0.17041015625,0.4641845703125,0.003317621905195245,0.184,0.10326086956521739,0.019,6.3185762983884475
7462,2.937744140625,0.4500732421875,0.593994140625,172.0751953125,162.58056640625,0.829248046875,0.17041015625,0.4641845703125,-6.281321400458673e-06,0.1105,0.004524886877828055,0.0005,4.092724772444503
7463,2.937744140625,1.0140380859375,1.5142089843750002,172.0751953125,162.58056640625,0.829248046875,0.17041015625,0.4641845703125,0.0004708733398276488,0.1115,0.06278026905829596,0.007,6.432047031127891
7464,2.937744140625,1.0140380859375,0.593994140625,120.6787109375,162.58056640625,0.829248046875,0.17041015625,0.4641845703125,5.331947710796037e-05,0.1195,0.008368200836820083,0.001,6.530910800820281
7465,2.937744140625,1.0140380859375,0.593994140625,172.0751953125,176.48193359375,0.829248046875,0.17041015625,0.4641845703125,2.9009303056493074e-05,0.114,0.0043859649122807015,0.0005,6.495678749711755
7466,2.937744140625,1.0140380859375,0.593994140625,172.0751953125,162.58056640625,0.134912109375,0.17041015625,0.4641845703125,0.0,0.111,0.0,0.0,6.491504243820899
7467,2.937744140625,1.0140380859375,0.593994140625,172.0751953125,162.58056640625,0.829248046875,0.27587890625,0.4641845703125,3.861582265640706e-05,0.1115,0.013452914798206279,0.0015,6.417805559744956
7468,2.937744140625,1.0140380859375,0.593994140625,172.0751953125,162.58056640625,0.829248046875,0.17041015625,0.4527587890625,-4.592614740128731e-05,0.1195,0.02510460251046025,0.003,6.389490565917179
