specification,metric,mean_2002,mean_2022,diff_2022_minus_2002,sd_pooled,cohens_d,effect_size_defined,n_2002,n_2022
prob_prior,delta_cenp,0.011352807722294678,0.021293071611156105,0.009940263888861427,0.014437591489224598,0.6884987635424009,True,800,800
prob_prior,delta_enp,-0.15893930811212542,-0.23422378772271712,-0.0752844796105917,0.1900360371315303,-0.39615896409418805,True,800,800
prob_prior,enp_final,6.405742210577182,5.233892576966872,-1.1718496336103108,0.6817244094572517,-1.7189492078525803,True,800,800
prob_prior,enp_sincere,6.564681518689306,5.468116364689588,-1.0965651539997179,0.7519054572299441,-1.458381693410654,True,800,800
prob_prior,mae,0.04929341963675867,0.06964635916766687,0.0203529395309082,0.008601005725290998,2.3663441440413178,True,800,800
prob_prior,rmse,0.06871491542674885,0.0949706048704447,0.026255689443695857,0.011614868454291548,2.2605240470024186,True,800,800
prob_prior,switching_rate,0.11076562500000002,0.11234999999999999,0.0015843749999999712,0.04416996842389518,0.035869959987176535,True,800,800
prob_prior,top2_acc,0.0,0.0,0.0,0.0,0.0,False,800,800
prob_prior,top3_acc,0.0,0.0,0.0,0.0,0.0,False,800,800
prob_prior,top4_acc,0.0,0.0,0.0,0.0,0.0,False,800,800
prob_prior,trigger_rate,0.44170437500000004,0.42950812499999996,-0.012196250000000075,0.19623565057888823,-0.06215104117942672,True,800,800
prob_signal,cliff_magnitude,0.14721875,0.15938000000000002,0.012161250000000012,0.06267939060590139,0.19402310524147004,True,800,800
prob_signal,cliff_ratio,0.9233532552884911,0.8721157307085039,-0.051237524579987204,0.05235397791476863,-0.9786749091616497,True,800,800
prob_signal,conditional_switching_rate,0.3197433040989657,0.33752512403093987,0.017781819931974197,0.1667170603292141,0.10665867006568289,True,800,800
prob_signal,delta_cenp,0.010419292431955747,0.02075551538558932,0.010336222953633572,0.015147482988629401,0.68237230973572,True,800,800
prob_signal,delta_enp,-0.14587009404738047,-0.22831066924148252,-0.08244057519410206,0.20012889651021662,-0.4119373895108318,True,800,800
prob_signal,enp_final,6.417622128804826,5.24026284169025,-1.1773592871145757,0.6814308932549865,-1.7277750374519876,True,800,800
prob_signal,enp_sincere,6.563492222852205,5.468573510931733,-1.0949187119204726,0.7488665464547261,-1.4621012476842798,True,800,800
prob_signal,mae,0.04929510032485611,0.06971446981062879,0.02041936948577268,0.008595522174031487,2.3755822010980343,True,800,800
prob_signal,rmse,0.0687248424389735,0.0951062084764278,0.026381366037454293,0.011588096019201709,2.276591943468525,True,800,800
prob_signal,switching_rate,0.11347062499999999,0.11499124999999999,0.0015206249999999977,0.04343064831475277,0.03501271703290377,True,800,800
prob_signal,top2_acc,0.0,0.0,0.0,0.0,0.0,False,800,800
prob_signal,top3_acc,0.0,0.0,0.0,0.0,0.0,False,800,800
prob_signal,top4_acc,0.0,0.0,0.0,0.0,0.0,False,800,800
prob_signal,trigger_rate,0.44170437500000004,0.42950812499999996,-0.012196250000000075,0.19623565057888823,-0.06215104117942672,True,800,800
prob_signal_mu0,cliff_magnitude,0.16158,0.15606625000000002,-0.005513749999999984,0.05954772630086941,-0.09259379564118608,True,800,800
prob_signal_mu0,cliff_ratio,0.9339433296767328,0.8703177032011875,-0.06362562647554526,0.05037091249880028,-1.263142224732591,True,800,800
prob_signal_mu0,conditional_switching_rate,0.31923623066905477,0.2953954215763936,-0.023840809092661175,0.16953182342393547,-0.1406273383436941,True,800,800
prob_signal_mu0,delta_cenp,0.016686681433871305,0.033515069390763666,0.01682838795689236,0.012474033105125872,1.3490735366075934,True,800,800
prob_signal_mu0,delta_enp,-0.23361354007419827,-0.3686657632984003,-0.13505222322420202,0.15419984022765726,-0.8758259608104255,True,800,800
prob_signal_mu0,enp_final,6.341915261408708,5.096514260511862,-1.2454010008968464,0.7534632054485484,-1.6529022145884877,True,800,800
prob_signal_mu0,enp_sincere,6.575528801482906,5.465180023810262,-1.1103487776726437,0.7425110478320345,-1.495396978825585,True,800,800
prob_signal_mu0,mae,0.05160208822878827,0.06004313162632527,0.008441043397536999,0.011403500310931841,0.7402151240742357,True,800,800
prob_signal_mu0,rmse,0.06848836885061799,0.08324823436447668,0.014759865513858689,0.015516321083598003,0.9512477496654185,True,800,800
prob_signal_mu0,switching_rate,0.106331875,0.10065875000000002,-0.005673124999999987,0.036589073647044876,-0.15504970294480735,True,800,800
prob_signal_mu0,top2_acc,0.0,0.00125,0.00125,0.025,0.049999999999999996,True,800,800
prob_signal_mu0,top3_acc,0.0,0.10375,0.10375,0.21575717299112304,0.4808646617012757,True,800,800
prob_signal_mu0,top4_acc,0.0,0.0,0.0,0.0,0.0,False,800,800
prob_signal_mu0,trigger_rate,0.44170437500000004,0.42950812499999996,-0.012196250000000075,0.19623565057888823,-0.06215104117942672,True,800,800
