specification,year,K,party,block,position,actual_share,first_signal_share,mean_final_share,error_final_minus_actual,p05_final_share,p95_final_share,prob_top2,prob_top3
prob_prior,2002,15,PCF,left,-0.6759999999999999,0.03385233550830737,0.055333333333333325,0.035052499999999966,0.001200164491692593,0.0,0.0765999999999999,0.0,0.0
prob_prior,2002,15,PRG,left,-0.276,0.023304871918834753,0.005,0.018226875000000038,-0.0050779969188347145,0.0015,0.11802499999999998,0.00125,0.11
prob_prior,2002,15,PS,left,-0.22999999999999998,0.16253139129187338,0.22833333333333336,0.2538000000000001,0.0912686087081267,0.0,0.339525,0.8425,0.88875
prob_prior,2002,15,RPR,right,0.3999999999999999,0.19969864389001502,0.23166666666666666,0.10974874999999999,-0.08994989389001502,0.0625,0.1535,0.1925,0.3725
prob_prior,2002,15,UDF,center,0.16999999999999993,0.06870919135656453,0.038,0.07015187500000017,0.0014426836434356383,0.0325,0.0965,0.0,0.0025
prob_prior,2022,12,DLF,right,0.6600000000000001,0.020604120824164834,0.019444444444444445,0.010448124999999983,-0.01015599582416485,0.0,0.0175,0.0,0.0
prob_prior,2022,12,EELV,left,-0.54,0.04630926185237048,0.021666666666666667,0.006119374999999979,-0.0401898868523705,0.0,0.019,0.0,0.0
prob_prior,2022,12,LFI,left,-0.8363636400000001,0.21954390878175636,0.11499999999999999,0.04686812500000006,-0.1726757837817563,0.032,0.07102499999999998,0.0025,0.03125
prob_prior,2022,12,LO,far_left,-0.92,0.005601120224044809,0.012222222222222223,0.0019499999999999917,-0.0036511202240448173,0.0,0.013024999999999976,0.0,0.0
prob_prior,2022,12,LR,right,0.5454545,0.04780956191238248,0.11555555555555556,0.10379249999999997,0.055982938087617486,0.0815,0.13952499999999998,0.0,0.20875
prob_prior,2022,12,NPA,far_left,-0.94,0.007701540308061613,0.007777777777777778,0.01831749999999999,0.010615959691938376,0.0,0.0295,0.0,0.0
prob_prior,2022,12,PCF,left,-0.65454546,0.02280456091218244,0.035555555555555556,0.06704375000000011,0.04423918908781767,0.048975000000000005,0.083,0.0,0.0
prob_prior,2022,12,PS,left,-0.30909089999999995,0.01750350070014003,0.05388888888888889,0.17061437499999993,0.1531108742998599,0.140975,0.1985,0.58625,0.975
prob_prior,2022,12,RE,center,0.2545455000000001,0.2785557111422285,0.3061111111111111,0.32964625000000025,0.05109053885777176,0.2075,0.4245,1.0,1.0
prob_prior,2022,12,REC,far_right,0.9454546000000001,0.07071414282856572,0.11833333333333333,0.049258124999999923,-0.0214560178285658,0.033,0.0675,0.0,0.0
prob_prior,2022,12,RES,right,0.15999999999999992,0.03130626125225045,0.020555555555555556,0.10986812499999994,0.07856186374774948,0.022,0.235,0.41125,0.41125
prob_prior,2022,12,RN,far_right,0.7636364,0.2315463092618524,0.17388888888888887,0.08607374999999991,-0.14547255926185249,0.030975000000000003,0.11552499999999999,0.0,0.37375
prob_signal,2002,15,CAP21,center,0.0,0.018884982419055747,0.006666666666666667,0.0059874999999999816,-0.012897482419055764,0.0,0.011,0.0,0.0
prob_signal,2002,15,CPNT,right,0.45999999999999996,0.042491210447875426,0.029666666666666664,0.01589999999999998,-0.026591210447875446,0.0,0.04404999999999995,0.0,0.00125
prob_signal,2002,15,DL,right,0.41400000000000015,0.03927674534803616,0.03466666666666667,0.01592687499999998,-0.023349870348036178,0.0055,0.0245,0.0,0.0
prob_signal,2002,15,FN,far_right,0.984,0.16936212959153185,0.09666666666666666,0.04079875000000005,-0.1285633795915318,0.031,0.05852499999999998,0.0,0.0
prob_signal,2002,15,FRS,right,0.5,0.011953792059402307,0.008666666666666666,0.017611250000000016,0.0056574579405977085,0.0015,0.073,0.0,0.0
prob_signal,2002,15,LCR,far_left,-0.86,0.042692114517865386,0.006666666666666667,0.025614375,-0.017077739517865384,0.0,0.0555,0.0,0.0
prob_signal,2002,15,LO,far_left,-0.9,0.05745856353712706,0.08666666666666667,0.08576187500000015,0.02830331146287309,0.073475,0.104,0.00125,0.01375
prob_signal,2002,15,LV,left,-0.47,0.05273731792736312,0.06266666666666666,0.1321831250000001,0.07944580707263697,0.058475000000000006,0.1695,0.7,0.7525
prob_signal,2002,15,MDC,left,-0.15999999999999992,0.05354093419732294,0.09733333333333333,0.15570812499999984,0.10216719080267689,0.097,0.321,0.26125,0.86125
prob_signal,2002,15,MNR,far_right,0.9600000000000002,0.02350577598882471,0.011999999999999999,0.01831562500000001,-0.0051901509888247,0.0,0.0275,0.0,0.0
prob_signal,2002,15,PCF,left,-0.6759999999999999,0.03385233550830737,0.055333333333333325,0.03517437499999999,0.0013220394916926143,0.0,0.07612499999999989,0.0,0.0
prob_signal,2002,15,PRG,left,-0.276,0.023304871918834753,0.005,0.01825125000000004,-0.005053621918834714,0.002,0.11802499999999998,0.00125,0.11
prob_signal,2002,15,PS,left,-0.22999999999999998,0.16253139129187338,0.22833333333333336,0.2532293749999999,0.09069798370812654,0.0,0.338,0.8425,0.88875
prob_signal,2002,15,RPR,right,0.3999999999999999,0.19969864389001502,0.23166666666666666,0.1092887499999999,-0.09040989389001511,0.063,0.15352499999999997,0.19375,0.36625
prob_signal,2002,15,UDF,center,0.16999999999999993,0.06870919135656453,0.038,0.07024875000000001,0.0015395586434354819,0.033,0.0965,0.0,0.00625
prob_signal,2022,12,DLF,right,0.6600000000000001,0.020604120824164834,0.019444444444444445,0.01052062499999998,-0.010083495824164854,0.0,0.0175,0.0,0.0
prob_signal,2022,12,EELV,left,-0.54,0.04630926185237048,0.021666666666666667,0.0062187499999999795,-0.040090511852370496,0.0,0.02,0.0,0.0
prob_signal,2022,12,LFI,left,-0.8363636400000001,0.21954390878175636,0.11499999999999999,0.04638250000000006,-0.1731614087817563,0.032,0.07002499999999999,0.0025,0.03125
prob_signal,2022,12,LO,far_left,-0.92,0.005601120224044809,0.012222222222222223,0.0020037499999999934,-0.0035973702240448156,0.0,0.0135,0.0,0.0
prob_signal,2022,12,LR,right,0.5454545,0.04780956191238248,0.11555555555555556,0.10405749999999993,0.056247938087617445,0.081475,0.13952499999999998,0.0,0.22875
prob_signal,2022,12,NPA,far_left,-0.94,0.007701540308061613,0.007777777777777778,0.018369999999999994,0.01066845969193838,0.0,0.0295,0.0,0.0
prob_signal,2022,12,PCF,left,-0.65454546,0.02280456091218244,0.035555555555555556,0.06722812500000015,0.04442356408781771,0.0495,0.083,0.0,0.0
prob_signal,2022,12,PS,left,-0.30909089999999995,0.01750350070014003,0.05388888888888889,0.17067875000000007,0.15317524929986004,0.1425,0.1985,0.58625,0.975
prob_signal,2022,12,RE,center,0.2545455000000001,0.2785557111422285,0.3061111111111111,0.32929687500000066,0.050741163857772165,0.2085,0.423525,1.0,1.0
prob_signal,2022,12,REC,far_right,0.9454546000000001,0.07071414282856572,0.11833333333333333,0.049484999999999876,-0.021229142828565847,0.0335,0.0675,0.0,0.0
prob_signal,2022,12,RES,right,0.15999999999999992,0.03130626125225045,0.020555555555555556,0.11033750000000005,0.07903123874774959,0.023,0.235,0.41125,0.41125
prob_signal,2022,12,RN,far_right,0.7636364,0.2315463092618524,0.17388888888888887,0.08542062499999989,-0.14612568426185252,0.0305,0.11652499999999999,0.0,0.35375
prob_signal_mu0,2002,15,CAP21,center,0.0,0.018884982419055747,0.006666666666666667,0.006243749999999979,-0.012641232419055768,0.0,0.0115,0.0,0.0
prob_signal_mu0,2002,15,CPNT,right,0.45999999999999996,0.042491210447875426,0.029666666666666664,0.02152812499999999,-0.020963085447875434,0.0,0.075,0.0,0.0
prob_signal_mu0,2002,15,DL,right,0.41400000000000015,0.03927674534803616,0.03466666666666667,0.018046250000000028,-0.02123049534803613,0.005975000000000001,0.027,0.0,0.0
prob_signal_mu0,2002,15,FN,far_right,0.984,0.16936212959153185,0.09666666666666666,0.049188124999999916,-0.12017400459153194,0.032,0.067,0.0,0.0
prob_signal_mu0,2002,15,FRS,right,0.5,0.011953792059402307,0.008666666666666666,0.009374374999999976,-0.002579417059402331,0.0,0.07004999999999996,0.0,0.0
prob_signal_mu0,2002,15,LCR,far_left,-0.86,0.042692114517865386,0.006666666666666667,0.005831874999999997,-0.03686023951786539,0.0,0.051,0.0,0.0
prob_signal_mu0,2002,15,LO,far_left,-0.9,0.05745856353712706,0.08666666666666667,0.07792875000000002,0.020470186462872957,0.0215,0.105,0.0175,0.065
prob_signal_mu0,2002,15,LV,left,-0.47,0.05273731792736312,0.06266666666666666,0.11873999999999985,0.06600268207263672,0.086475,0.15602499999999997,0.37625,0.54875
prob_signal_mu0,2002,15,MDC,left,-0.15999999999999992,0.05354093419732294,0.09733333333333333,0.1564174999999999,0.10287656580267696,0.094,0.321,0.49875,0.84625
prob_signal_mu0,2002,15,MNR,far_right,0.9600000000000002,0.02350577598882471,0.011999999999999999,0.009776874999999997,-0.013728900988824712,0.0,0.0265,0.0,0.0
prob_signal_mu0,2002,15,PCF,left,-0.6759999999999999,0.03385233550830737,0.055333333333333325,0.07670250000000006,0.04285016449169269,0.0,0.1235,0.01,0.0425
prob_signal_mu0,2002,15,PRG,left,-0.276,0.023304871918834753,0.005,0.017579375000000022,-0.005725496918834731,0.0015,0.11802499999999998,0.00125,0.11
prob_signal_mu0,2002,15,PS,left,-0.22999999999999998,0.16253139129187338,0.22833333333333336,0.25634687499999936,0.09381548370812598,0.0,0.340525,0.8425,0.88875
prob_signal_mu0,2002,15,RPR,right,0.3999999999999999,0.19969864389001502,0.23166666666666666,0.10991437499999983,-0.08978426889001519,0.0625,0.155,0.25375,0.4925
prob_signal_mu0,2002,15,UDF,center,0.16999999999999993,0.06870919135656453,0.038,0.06638125000000003,-0.0023279413565645,0.030975000000000003,0.0945,0.0,0.00625
prob_signal_mu0,2022,12,DLF,right,0.6600000000000001,0.020604120824164834,0.019444444444444445,0.010539374999999985,-0.01006474582416485,0.0,0.017524999999999978,0.0,0.0
prob_signal_mu0,2022,12,EELV,left,-0.54,0.04630926185237048,0.021666666666666667,0.0068256249999999845,-0.039483636852370496,0.0,0.024524999999999977,0.0,0.0
prob_signal_mu0,2022,12,LFI,left,-0.8363636400000001,0.21954390878175636,0.11499999999999999,0.1167631249999999,-0.10278078378175647,0.035,0.229,0.16375,0.57125
prob_signal_mu0,2022,12,LO,far_left,-0.92,0.005601120224044809,0.012222222222222223,0.004123749999999993,-0.001477370224044816,0.0,0.0225,0.0,0.0
prob_signal_mu0,2022,12,LR,right,0.5454545,0.04780956191238248,0.11555555555555556,0.10177812500000001,0.05396856308761753,0.081475,0.13952499999999998,0.0,0.0625
prob_signal_mu0,2022,12,NPA,far_left,-0.94,0.007701540308061613,0.007777777777777778,0.0012349999999999948,-0.0064665403080616185,0.0,0.008,0.0,0.0
prob_signal_mu0,2022,12,PCF,left,-0.65454546,0.02280456091218244,0.035555555555555556,0.028935000000000054,0.006130439087817616,0.0,0.0765,0.0,0.0
prob_signal_mu0,2022,12,PS,left,-0.30909089999999995,0.01750350070014003,0.05388888888888889,0.15186125000000003,0.13435774929986,0.058475000000000006,0.19052499999999997,0.42375,0.8325
prob_signal_mu0,2022,12,RE,center,0.2545455000000001,0.2785557111422285,0.3061111111111111,0.32997750000000003,0.051421788857771544,0.2085,0.425,1.0,1.0
prob_signal_mu0,2022,12,REC,far_right,0.9454546000000001,0.07071414282856572,0.11833333333333333,0.04805437499999989,-0.02265976782856583,0.031,0.0675,0.0,0.0
prob_signal_mu0,2022,12,RES,right,0.15999999999999992,0.03130626125225045,0.020555555555555556,0.1109031250000001,0.07959686374774966,0.0245,0.235,0.41125,0.41125
prob_signal_mu0,2022,12,RN,far_right,0.7636364,0.2315463092618524,0.17388888888888887,0.08900374999999991,-0.1425425592618525,0.0305,0.1215,0.00125,0.1225
