variant,year,K,n_draws,tau_absolute_min,tau_absolute_max,metric,mean,sd,p05,p50,p95
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,delta_cenp,0.056939094103839655,0.06840219705158052,-0.018582767135048278,0.036840684820952374,0.1975063103930204
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,delta_enp,-0.6263300351422363,0.7524241675673857,-2.172569414323225,-0.4052475330304759,0.2044104384855305
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,enp_final,7.275265954981209,0.7618462832820232,5.797208923571223,7.442263349850111,8.135880994337683
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,enp_sincere,7.901595990123444,0.13747713678214518,7.673414610409237,7.899050142301142,8.123466956831491
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,mae,0.09716196972727882,0.008494344830032082,0.081965224711609,0.09804481729679271,0.10710610205374407
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,rmse,0.122369637729879,0.00661262145566277,0.11099023741662145,0.12333476549066572,0.13092590326660913
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,switching_rate,0.13987999999999998,0.11336548385330046,0.0,0.132,0.30529999999999996
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,top2_acc,0.0,0.0,0.0,0.0,0.0
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,top3_acc,0.0,0.0,0.0,0.0,0.0
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,top4_acc,0.0,0.0,0.0,0.0,0.0
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,trigger_rate,0.5343500000000001,0.17175842649112466,0.36925,0.40925,0.858
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_magnitude,0.11561,0.025538204693946263,0.06397499999999999,0.11800000000000001,0.14452500000000001
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_ratio,0.9201983594704872,0.02176074108360378,0.8725729168676428,0.9256057487451703,0.9430398460726304
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,conditional_switching_rate,0.2811216368339808,0.23792730620588434,0.0,0.3170188308312212,0.6214185868829115
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,delta_cenp,-0.013921102877959446,0.04767015561465428,-0.09936448209623655,-0.0032042426606969654,0.03300963553735383
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,delta_enp,0.19489544029143224,0.6673821786051598,-0.46213489752295395,0.044859397249757293,1.3911027493473112
perturbed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,enp_final,7.646870947461434,0.6781989596691894,6.947817028276799,7.5553529909533115,8.926145118317976
