specification,year,K,n_draws,tau_absolute_min,tau_absolute_max,metric,mean,sd,p05,p50,p95
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,rmse,0.12204472807993864,0.006692990687355207,0.11103616754916903,0.12294146196925618,0.13056307202852557
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,switching_rate,0.13838666666666666,0.10292861517395271,0.0,0.14200000000000002,0.301575
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,top2_acc,0.0,0.0,0.0,0.0,0.0
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,top3_acc,0.0,0.0,0.0,0.0,0.0
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,top4_acc,0.0,0.0,0.0,0.0,0.0
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,trigger_rate,0.5331233333333334,0.16991294187006087,0.3567,0.41525,0.8555250000000001
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,cliff_magnitude,0.08475625,0.02709436226451272,0.043000000000000003,0.08375000000000002,0.12804999999999994
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,cliff_ratio,0.8688479094052599,0.0452750443534823,0.7918075199348116,0.8769479248554726,0.9315104848024394
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,conditional_switching_rate,0.3692015994567362,0.21352983652250698,0.09142689714424461,0.3177553835120175,0.7615344482561462
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,delta_cenp,0.047070248864682716,0.06418949935996915,-0.0370224727552393,0.04042047556247702,0.15376274208495957
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,delta_enp,-0.6589834841055583,0.898652991039568,-2.1526783891894334,-0.5658866578746777,0.5183146185733497
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,enp_final,7.472893116982455,0.7696486328911364,6.381474677709667,7.384161003799085,8.91038494479923
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,enp_sincere,8.131876601088011,0.8229341783064144,6.797275207174585,8.032677280120788,9.533066166011094
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,mae,0.04361721860966645,0.00961558402916747,0.027494105137895127,0.04483403649843663,0.057735750880580514
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,rmse,0.06445130371178388,0.013177092450956083,0.04002679709168198,0.06773595468239854,0.08366893126332631
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,switching_rate,0.162366875,0.09603163962984737,0.049925000000000004,0.14075,0.338
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,top2_acc,0.0,0.0,0.0,0.0,0.0
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,top3_acc,0.0025,0.04996870109239459,0.0,0.0,0.0
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,top4_acc,0.0,0.0,0.0,0.0,0.0
prob_prior,2002,15,800,0.06667301122849636,0.3998966094395583,trigger_rate,0.49219625,0.18472152937653616,0.153475,0.57125,0.6880749999999999
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,cliff_magnitude,0.146090625,0.0740460118064432,0.05647500000000001,0.1275,0.256025
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,cliff_ratio,0.8848276250181926,0.0619085826174269,0.7791064158102652,0.8886282343410461,0.9575653591354075
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,conditional_switching_rate,0.44271847540306736,0.2559968163722107,0.08700380776984147,0.45212846392180456,0.7975378268991282
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,delta_cenp,0.029100169204407722,0.039287335480737935,-0.017457835736035692,0.015812462767494012,0.09564699482482948
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,delta_enp,-0.320101861248485,0.43216069028811727,-1.0521169430731248,-0.173937090442434,0.19203619309639317
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,enp_final,5.973709630216952,0.8381079812161437,4.665567459050513,5.845961828904619,7.401208211625718
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,enp_sincere,6.293811491465437,0.9395905157330353,4.996826998503451,5.944155928365352,7.701370268712083
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,mae,0.07078599096902714,0.013902330117869958,0.04900385327065414,0.07051833700073348,0.0970280222711209
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,rmse,0.09429711051364752,0.015196439148160275,0.06978469801955546,0.09497016230273339,0.12029127666524944
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,switching_rate,0.1961175,0.0778752890495804,0.069,0.1995,0.308525
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,top2_acc,0.0,0.0,0.0,0.0,0.0
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,top3_acc,0.0,0.0,0.0,0.0,0.0
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,top4_acc,0.0,0.0,0.0,0.0,0.0
prob_prior,2022,12,800,0.08334126403562045,0.49987076179944784,trigger_rate,0.532899375,0.17046207594734883,0.3517,0.4145,0.86
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,cliff_magnitude,0.08453625000000001,0.026932143646379816,0.04150000000000001,0.08399999999999999,0.128525
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,cliff_ratio,0.8689581109579175,0.04475234631220369,0.7880382716229472,0.8765445531099986,0.9314731046516022
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,conditional_switching_rate,0.3774535116014171,0.210974262131406,0.10923294617523854,0.32912190527878427,0.7603837495752633
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,delta_cenp,0.0453759643224571,0.06472724538592971,-0.03981437025365851,0.04059132092309187,0.15528990992325423
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,delta_enp,-0.6352635005143996,0.906181435403016,-2.1740587389255595,-0.5682784929232851,0.5574011835512193
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,enp_final,7.492068255507451,0.7884337148364937,6.380611248722529,7.378862323983682,8.978154618793795
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,enp_sincere,8.127331756021851,0.8154646921893133,6.820788084018466,8.035323488668736,9.517487316965319
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,mae,0.043589112842078566,0.009618000379476991,0.027295429430495233,0.044922635192785526,0.05776917127314253
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,rmse,0.06444374591467328,0.01315445807747203,0.040241792081590906,0.06770097891879151,0.08370343085172607
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,switching_rate,0.16705625,0.09608328722281481,0.051,0.145,0.33859999999999996
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,top2_acc,0.0,0.0,0.0,0.0,0.0
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,top3_acc,0.0025,0.04996870109239459,0.0,0.0,0.0
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,top4_acc,0.0,0.0,0.0,0.0,0.0
prob_signal,2002,15,800,0.06667301122849636,0.3998966094395583,trigger_rate,0.49219625,0.18472152937653616,0.153475,0.57125,0.6880749999999999
prob_signal,2022,12,800,0.08334126403562045,0.49987076179944784,cliff_magnitude,0.145463125,0.07327213375298462,0.056975,0.12774999999999997,0.25354999999999994
