K,outcome,parameter,S1,S1_conf,ST,ST_conf,n_base,n_evaluations
6,trigger_rate,rho_s,-0.0023167771650324043,0.02062611333653677,0.057453823974225646,0.010705540430216208,1024,10240
6,trigger_rate,tau_hat,0.6767267712633308,0.0649804378332536,0.7849276558133879,0.062326523798964695,1024,10240
6,trigger_rate,theta,0.016501930646198905,0.022443277774158495,0.06425715616095891,0.013833512999679796,1024,10240
8,cond_switching,alpha,-0.010865694577881462,0.038073798053753286,0.07070509520600879,0.021694950176274513,1024,10240
8,cond_switching,c,0.02016999844872558,0.02936668890269374,0.16482393331185946,0.06402998081020965,1024,10240
8,cond_switching,epsilon,0.004323208284820318,0.026298134416073756,0.091470902055484,0.041044777977782464,1024,10240
8,cond_switching,mu,0.6566181282004667,0.19756863195162344,0.84408820984774,0.11090588366929703,1024,10240
8,cond_switching,rho_pi,0.011229375880609536,0.022096579720094704,0.06293620248916,0.027741372598688915,1024,10240
8,cond_switching,rho_s,0.0183831043344891,0.02106575186140592,0.07120000637030272,0.027405365855979438,1024,10240
8,cond_switching,tau_hat,0.057134758830571196,0.042081413330101396,0.3031904078492995,0.08035490895044571,1024,10240
8,cond_switching,theta,0.030684070051784237,0.03056928649176752,0.0830420660601186,0.030204886840058,1024,10240
8,delta_cenp,alpha,0.002343717386859005,0.050438751567885846,0.25746727934269587,0.11726945904343765,1024,10240
8,delta_cenp,c,0.050170554822682574,0.042519775642136805,0.3377142556363372,0.1122418104998148,1024,10240
8,delta_cenp,epsilon,0.022797766405941965,0.025400593829028727,0.19274142550268328,0.08378936930521931,1024,10240
8,delta_cenp,mu,0.26318065148326486,0.08839016056798447,0.7869259435529218,0.1934717210621814,1024,10240
8,delta_cenp,rho_pi,0.009071162589220881,0.027500793690222094,0.22511153193063155,0.09201213528069072,1024,10240
8,delta_cenp,rho_s,0.03223461654207354,0.04929639410698635,0.20579611731286027,0.08833078690778452,1024,10240
8,delta_cenp,tau_hat,0.07504515264449514,0.04277989232371931,0.42943282920330866,0.1316076544345254,1024,10240
8,delta_cenp,theta,0.07667603953531645,0.05849394641260194,0.3031974431380299,0.14388060511373738,1024,10240
8,enp_final,alpha,0.0020336309958962663,0.007217834337187548,0.006042882349084587,0.0016822779274298216,1024,10240
8,enp_final,c,0.9129785170258788,0.06914278353136248,0.9464356024240387,0.06373312335167698,1024,10240
8,enp_final,epsilon,0.04688664415861807,0.022918287398105565,0.08081223328035388,0.010282098403466982,1024,10240
8,enp_final,mu,0.013041980368916328,0.01029872909562302,0.01275020971951756,0.0029636055128549883,1024,10240
8,enp_final,rho_pi,-0.0008671069805160974,0.00523266507940427,0.005398639326218463,0.0012639526185384187,1024,10240
8,enp_final,rho_s,0.0036701827460493717,0.006333451575501124,0.0052708451872665995,0.0013189334104146487,1024,10240
8,enp_final,tau_hat,0.00154228934946477,0.007198815227813812,0.00797772460992091,0.0016087536671771658,1024,10240
8,enp_final,theta,0.005411788205375033,0.006014937396397445,0.006066728358381548,0.0017303174639163015,1024,10240
8,total_switching,alpha,-0.0182489698652565,0.02764793303429284,0.10215493326116806,0.030188508938116556,1024,10240
8,total_switching,c,0.039470399873566764,0.032679800502224736,0.2127575015413989,0.06366653570914926,1024,10240
8,total_switching,epsilon,0.0025289990043472522,0.018510748336028005,0.10950338924801536,0.034284694662792776,1024,10240
8,total_switching,mu,0.41147442555244806,0.08241671390100228,0.6867110657759408,0.12438095859860716,1024,10240
8,total_switching,rho_pi,0.011384377377480286,0.027630257450371138,0.12647969498749162,0.08167449080002251,1024,10240
8,total_switching,rho_s,0.03142087679787028,0.038067726984773474,0.10282881922418119,0.037258418562481375,1024,10240
8,total_switching,tau_hat,0.16798876411195868,0.048667304361197,0.43260726306371244,0.08373324208697794,1024,10240
8,total_switching,theta,0.03139957124159178,0.04288629378961248,0.1719420708321492,0.1145245300182027,1024,10240
8,trigger_rate,alpha,-0.012023179790117099,0.020777441050745932,0.05555483853368178,0.011475345763889738,1024,10240
8,trigger_rate,c,0.23882922308492668,0.046179044031108556,0.37002918169367505,0.04771333519434349,1024,10240
8,trigger_rate,epsilon,0.016848324914016357,0.026171836065826425,0.09610051976994623,0.0164335767174361,1024,10240
8,trigger_rate,mu,-0.015125366117476675,0.019331674191774773,0.05789484270818203,0.014089326203762043,1024,10240
8,trigger_rate,rho_pi,-0.010805099391035789,0.02199541541360599,0.051538442539265865,0.011144497258835317,1024,10240
8,trigger_rate,rho_s,-0.011404453616009792,0.017332815475258733,0.05549297285881004,0.012562448210034811,1024,10240
8,trigger_rate,tau_hat,0.5684739348504311,0.06298082610944243,0.6993822567903372,0.06533880432921713,1024,10240
8,trigger_rate,theta,0.00165591602642275,0.021116221694591392,0.05839580438649331,0.013397669065161391,1024,10240
9,cond_switching,alpha,0.012265201655721383,0.024084059002895987,0.07699576290572877,0.03819338541982651,1024,10240
9,cond_switching,c,0.020779045778849342,0.029876056580409826,0.15761769256854086,0.06448870773323856,1024,10240
9,cond_switching,epsilon,-0.010296923971715917,0.034272234504871456,0.08780854719940691,0.030188359994654305,1024,10240
9,cond_switching,mu,0.5979592682148873,0.19328568645939612,0.8743949109533343,0.10817111461277956,1024,10240
9,cond_switching,rho_pi,0.006905127237255222,0.02506115277373736,0.07240655587873669,0.023791738580800796,1024,10240
9,cond_switching,rho_s,0.012891452136999522,0.021795893600571593,0.07058289998096802,0.03491347145432768,1024,10240
9,cond_switching,tau_hat,0.03444044517330076,0.038073499394072556,0.28223054570404765,0.08035939443470017,1024,10240
